pokemonId;hasItem;hasHiddenAbility;hasEggMove;hasPokerus;hasPerfectIV;isShiny;level;date;time;userId;liked;trainerId
81;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;24;2015-02-08;48492;669;;62158
661;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;62915;1424;;62515
656;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;78395;669;;62638
679;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;61259;1424;like;63138
333;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;26;2015-02-08;61867;1424;;63172
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;7948;669;dislike;63214
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;78547;841;dislike;1
664;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;32944;1614;;2
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;78152;841;dislike;3
274;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;19;2015-02-08;54380;1503;;4
357;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;27;2015-02-08;78890;841;dislike;5
58;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;56835;1616;like;6
515;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;4;2015-02-08;50891;1503;;7
280;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;58582;1503;;8
397;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;23;2015-02-08;56927;1616;;9
309;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;11;2015-02-08;52863;1503;;10
183;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;78715;841;dislike;11
170;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;51029;1503;;12
548;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;36;2015-02-08;79814;841;;13
325;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;21;2015-02-08;79023;841;dislike;13
366;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;30;2015-02-08;57317;1616;;13
123;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;77827;841;;14
456;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;30;2015-02-08;59163;1503;;14
183;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;15;2015-02-08;58767;1503;;14
41;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;13;2015-02-08;57548;1616;dislike;14
44;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;39;2015-02-08;53533;1503;;14
179;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;45168;1278;like;14
679;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;52703;1615;dislike;14
164;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;48;2015-02-08;78262;841;;15
302;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;11219;669;;16
566;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;20;2015-02-08;55111;1616;;17
213;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;54215;1503;;18
16;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;51126;1503;;18
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;59241;1503;;19
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;57404;1616;dislike;19
363;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;24011;1503;;20
360;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;52689;1503;;21
605;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;31;2015-02-08;22054;1503;;21
610;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;53245;1503;;22
201;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;38;2015-02-08;21951;1503;;23
263;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;57479;1616;dislike;24
280;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;3;2015-02-08;53705;1503;;25
443;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;6;2015-02-08;52039;1503;;26
338;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;40;2015-02-08;79590;841;dislike;27
353;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;22269;1503;;28
352;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;30;2015-02-08;79681;841;dislike;29
276;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;5;2015-02-08;78362;841;dislike;30
532;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;24;2015-02-08;58855;1503;;31
72;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;10;2015-02-08;52774;1615;dislike;32
707;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;78026;841;;33
352;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;30;2015-02-08;54573;1503;;34
318;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;59323;1503;;35
390;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;78455;841;like;36
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;58187;1503;;37
118;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;25;2015-02-08;22154;1503;;38
263;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;19;2015-02-08;56085;1616;dislike;39
661;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;53125;1615;;40
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;55023;1616;dislike;41
353;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;54008;1503;;41
133;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;79236;841;;42
613;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;55768;1616;;43
133;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;51215;1503;;44
679;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;57042;1616;;45
223;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;35;2015-02-08;4595;1278;like;46
92;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;24157;1503;;47
280;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;58962;1503;;48
7;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;79470;841;like;49
280;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;78635;841;dislike;50
246;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;32831;1614;like;50
302;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;8346;669;;51
220;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;51443;1503;like;52
263;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;5;2015-02-08;44971;1278;dislike;53
661;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;78814;841;dislike;54
263;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;59397;1503;;54
505;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;36;2015-02-08;79148;841;;55
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;55579;1616;dislike;55
298;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;5;2015-02-08;24576;1503;;56
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;58102;1503;;57
